"SourceTable","IdNo","Active","DatabaseName","ReportCode","ReportFileName","ReportName"
"Report","17","0","IGROUPCLINIC","17","PurchaseOrderAnalysis","PurchaseOrderAnalysis"
"Report","22","0","IGROUPCLINIC","22","PurchaseReport","PurchaseReport"
"Report","20","0","IGROUPCLINIC","20","PurchaseReturnReport","PurchaseReturnReport"
"Report","18","0","IGROUPCLINIC","18","PurchaseSummaryReport","PurchaseSummaryReport"
"Report","19","0","IGROUPCLINIC","19","PurchaseSummaryReport","PurchaseSummaryReport"
"Report","140","1","IGROUPCLINIC","124","Revenue Sale Vat Report Summary","Revenue Sale Vat Report Summary"
"Report","342","1","Kizen","219","Revenue Summary Report From Receipts Per Day Per Clinic","Revenue Summary Report From Receipts Per Day Per Clinic"
"Report","64","0","IGROUPCLINIC","64","RevenueReportDoctorWisePatients","RevenueReportDoctorWisePatients"
"Report","36","0","IGROUPCLINIC","36","SaleProfitabilityDateWise","SaleProfitabilityDateWise"
"Report","35","0","IGROUPCLINIC","35","SaleProfitabilityInvoiceWise","SaleProfitabilityInvoiceWise"
"Report","37","0","IGROUPCLINIC","37","SaleProfitabilityItemWise","SaleProfitabilityItemWise"
"Report","343","1","ISPDATA","219","Statement of Employee Payments","Statement of Employee Payments"
"Report","14","0","IGROUPCLINIC","14","StockAdjustment","StockAdjustment"
"Report","181","1","IGROUPCLINIC","130","StockRegister","Stock Register Clinic"
"Report","8","0","IGROUPCLINIC","8","StockRegister","StockRegister"
"Report","235","1","","218","Stocks Consumption Report","Stocks Consumption Report"
"Report","24","0","IGROUPCLINIC","24","SupplierWisePurchaseHistory","SupplierWisePurchaseHistory"
"Report","221","1","ISPDATA","TOVRS","Total Output Vat Report (Summary)","Total Output Vat Report (Summary)"
"Report","222","1","ISPDATA","TPRS","Total Purchases Report (Summary)","Total Purchases Report (Summary)"
"Report","2","1","IGROUPCLINIC","2","UnpostedPayables","UnpostedPayables"
"ReportFile","1","1","","","BarcodePharmacy2.Rpt",""
"ReportFile","2","1","","","Expiry Label.rpt",""
