"Path","Exists","BlobHash","SizeBytes","FileName","BackupStyle","BackupReason","ProjectIncluded","TextReferenced","ReferenceEvidence","DuplicateCount","CanonicalPath","Classification","ProposedAction"
"Accounts/Reports/IGroup/Reports/SaleProfitabilityItemWise.rpt","True","7b0b61799c93f78c76db548885e0ffc2d351d19b","16384","SaleProfitabilityItemWise.rpt","False","","False","False","","5","IGroup/Reports/SaleProfitabilityItemWise.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Injections (itemized).rpt","True","33f18409f47bf424ccb4e6afc28d0bb48f1e884a","76288","Stock Consumption Injections (itemized).rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Injections (itemized).rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Injections (Summarized).rpt","True","19f370b1ed7a43ce27cd0ec30664be7dc9df7fb8","61440","Stock Consumption Injections (Summarized).rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Injections (Summarized).rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Meds Only.rpt","True","d179042f232e24eed13e78b4d3b59beb7080ea1d","58880","Stock Consumption Meds Only.rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Meds Only.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption New.rpt","True","5a51cf84898fe5bb137abeac1ff0ebb333503a2a","62976","Stock Consumption New.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Per Clinic excluding Injections & Cleaning Items (itemized).rpt","True","e0d23e2dca26d5ee37e6cc92eab353bbcc033b05","75264","Stock Consumption Per Clinic excluding Injections & Cleaning Items (itemized).rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Per Clinic excluding Injections & Cleaning Items (itemized).rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Per Clinic excluding Injections & Cleaning Items (Summarized).rpt","True","2f3cfd9530dacaa27942fdb6a502bbd166473de7","58880","Stock Consumption Per Clinic excluding Injections & Cleaning Items (Summarized).rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Per Clinic excluding Injections & Cleaning Items (Summarized).rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Per Clinic excluding Injections & Cleaning Items (Summary).rpt","True","c5483a3c78392b370118940452329d62c2490b88","61440","Stock Consumption Per Clinic excluding Injections & Cleaning Items (Summary).rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Per Clinic excluding Injections & Cleaning Items (Summary).rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Report for a specified Ending Date.rpt","True","0a7df05c3b92c09c2f62a8dbf928905f55b87beb","82944","Stock Consumption Report for a specified Ending Date.rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Report for a specified Ending Date.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption Report for a specified Ending Date2.rpt","True","5f5052a4fbab1272d386bf4765c7631d538bd0cc","82944","Stock Consumption Report for a specified Ending Date2.rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption Report for a specified Ending Date2.rpt","Exact duplicate retained pending filename/path validation","Retain"
